Fold,Accuracy,Precision,Recall,F1,AUC
1,0.8191275780251871,0.8292388564072306,0.8046374850361734,0.8167529585798816,0.905066692465008
2,0.8166742715598723,0.8262756126958618,0.8028366948601171,0.8143875395987328,0.9025585107576335
3,0.8190339612802294,0.8316756756756757,0.800832791151594,0.8159628770301623,0.9039111413418505
4,0.8189035916824197,0.8309323405632891,0.8015875081327261,0.8159961850767621,0.9039620187244758
5,0.814275470960172,0.8268934375253495,0.7958620689655173,0.8110810524082326,0.9016199285611821
mean,0.8176029747015761,0.8290031845734813,0.8011513096292255,0.8148361225387543,0.90342365837003
std,0.0018972882273381013,0.0021358873421706464,0.0029414871170273527,0.0020293525826616055,0.0012024104266743544
