Fold,Accuracy,Precision,Recall,F1,AUC
1,0.7357610197325548,0.7909160843643823,0.6421433404465726,0.7088073078248879,0.8257957086551628
2,0.7357219195579073,0.7902751119641714,0.6429147690305791,0.7090191576379421,0.8239888333069441
3,0.7356958527748091,0.794195849546044,0.637423552374756,0.7072258716523496,0.8225563279136223
4,0.7343534134452467,0.7904633117614862,0.6389329863370201,0.7066662828852684,0.8228987445386242
5,0.735161483721294,0.7924595354246762,0.6383604424202993,0.7071117645363084,0.8244299116352906
mean,0.7353387378463625,0.791661978612152,0.6399550181218453,0.7077660769073513,0.8239339052099288
std,0.0005394375752347844,0.0014814289268033401,0.0021699962905263517,0.0009574827861066111,0.001156255020420841
