Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	signal transduction by p53 class mediator (GO:0072331)	1/33	2.655133e-01	3.936358e-01	0	0	3.341554e+00	4.431202e+00	ATRX
GO_Biological_Process_2021	regulation of histone acetylation (GO:0035065)	1/33	2.655133e-01	3.936358e-01	0	0	3.341554e+00	4.431202e+00	KMT2A
GO_Biological_Process_2021	regulation of protein ubiquitination (GO:0031396)	2/109	2.693048e-01	3.978123e-01	0	0	2.001930e+00	2.626355e+00	DAXX;UBB
GO_Biological_Process_2021	negative regulation of macromolecule metabolic process (GO:0010605)	3/194	2.699834e-01	3.978123e-01	0	0	1.684233e+00	2.205326e+00	KDM4A;DNMT1;SETDB1
GO_Biological_Process_2021	regulation of programmed cell death (GO:0043067)	3/194	2.699834e-01	3.978123e-01	0	0	1.684233e+00	2.205326e+00	CREBBP;DAXX;TRIM24
GO_Biological_Process_2021	regulation of transmembrane transport (GO:0034762)	1/34	2.723553e-01	3.980578e-01	0	0	3.240131e+00	4.214269e+00	ACTB
GO_Biological_Process_2021	positive regulation of DNA binding (GO:0043388)	1/34	2.723553e-01	3.980578e-01	0	0	3.240131e+00	4.214269e+00	H1-0
GO_Biological_Process_2021	positive regulation of pri-miRNA transcription by RNA polymerase II (GO:1902895)	1/34	2.723553e-01	3.980578e-01	0	0	3.240131e+00	4.214269e+00	SMARCA4
GO_Biological_Process_2021	regulation of keratinocyte differentiation (GO:0045616)	1/34	2.723553e-01	3.980578e-01	0	0	3.240131e+00	4.214269e+00	MACROH2A1
GO_Biological_Process_2021	negative regulation of cellular process (GO:0048523)	7/566	2.751229e-01	4.012904e-01	0	0	1.347028e+00	1.738390e+00	ING4;KAT2B;PBRM1;H2AC6;H2AC4;ING1;SMARCA4
GO_Biological_Process_2021	regulation of protein serine/threonine kinase activity (GO:0071900)	2/111	2.761967e-01	4.020444e-01	0	0	1.964998e+00	2.528249e+00	MACROH2A1;ACTB
GO_Biological_Process_2021	negative regulation of cell population proliferation (GO:0008285)	5/379	2.779105e-01	4.029964e-01	0	0	1.435873e+00	1.838573e+00	ING4;KAT2B;PBRM1;H2AC6;H2AC4
GO_Biological_Process_2021	positive regulation of immunoglobulin production (GO:0002639)	1/35	2.791339e-01	4.029964e-01	0	0	3.144674e+00	4.012804e+00	TP53BP1
GO_Biological_Process_2021	negative regulation of organelle assembly (GO:1902116)	1/35	2.791339e-01	4.029964e-01	0	0	3.144674e+00	4.012804e+00	KAT2B
GO_Biological_Process_2021	maturation of SSU-rRNA (GO:0030490)	1/35	2.791339e-01	4.029964e-01	0	0	3.144674e+00	4.012804e+00	RPS8
GO_Biological_Process_2021	protein-containing complex subunit organization (GO:0043933)	2/112	2.796416e-01	4.029964e-01	0	0	1.947036e+00	2.481004e+00	CREBBP;KMT2A
GO_Biological_Process_2021	negative regulation of cellular protein localization (GO:1903828)	1/36	2.858497e-01	4.070681e-01	0	0	3.054672e+00	3.825332e+00	MACROH2A1
