Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_PTK6_REGULATES_RTKS_AND_THEIR_EFFECTORS_AKT1_AND_DOK1	3/9	1.414429e-04	7.888159e-04	4.429624e+01	3.926248e+02	UBB;UBA52;UBC
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_PYRUVATE_METABOLISM	3/49	2.174256e-02	5.225421e-02	6.173644e+00	2.363570e+01	UBB;UBA52;UBC
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_RAS_PROCESSING	3/24	2.979856e-03	1.062490e-02	1.337704e+01	7.779927e+01	UBB;UBA52;UBC
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	39/55	4.851702e-64	7.537466e-63	2.519225e+02	3.672681e+04	H4C5;H3-4;H2AZ2;H2BC12;H2BC6;H2BC3;H2BC5;H2BC4;H2BC11;H4C11;H2AC6;H2BC8;H2BC15;H2BC14;H4C2;H2BC26;H4C13;H2BC7;H2AC20;H4C16;H4C15;H2AC18;H4C6;H4C12;H4C14;H2BC10;H4C3;H2BC21;H2AC19;H2AX;H2AC4;H2BC9;H4C1;H4C9;H4C4;H2BC17;H2AC7;H2BC13;H2AC8
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_RECOGNITION_OF_DNA_DAMAGE_BY_PCNA_CONTAINING_REPLICATION_COMPLEX	3/30	5.666633e-03	1.773371e-02	1.045377e+01	5.407904e+01	UBB;UBA52;UBC
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_RECYCLING_PATHWAY_OF_L1	1/49	4.521808e-01	5.374280e-01	2.505898e+00	1.988864e+00	ACTB
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_REGULATED_NECROSIS	3/59	3.514964e-02	7.841074e-02	5.077198e+00	1.699917e+01	UBB;UBA52;UBC
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_REGULATION_OF_BACH1_ACTIVITY	3/11	2.728861e-04	1.388368e-03	3.386859e+01	2.779411e+02	UBB;UBA52;UBC
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT	3/42	1.440847e-02	3.741901e-02	7.271479e+00	3.083063e+01	CREBBP;KAT2B;EP300
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF	1/55	4.911746e-01	5.667399e-01	2.229027e+00	1.584739e+00	CREBBP
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS	60/142	3.081572e-80	9.244715e-79	9.179628e+01	1.680619e+04	H4C5;H2AZ2;H2BC12;H2BC6;H3C14;CBX5;H2BC3;H2BC5;H2BC4;H2BC11;H4C11;H3C6;H2AC6;H2BC8;H3C13;H3C3;H2BC15;H3C1;SMARCA4;EHMT2;H2BC14;ACTB;H3-3B;CHD4;H3C2;H4C13;H4C2;DNMT3A;H2BC26;H2BC7;SETDB1;H2AC20;H4C16;H4C15;H4C6;H2AC18;H4C12;H4C14;H3C11;H2BC10;MPHOSPH8;H3C7;H4C3;H2BC21;H3C15;H2AC19;H3C10;H2AX;H2AC4;H2BC9;H3C4;H3C12;H3C8;H4C1;H4C9;H4C4;H2BC17;H2AC7;H2BC13;H2AC8
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS_BY_KRAB_ZFP_PROTEINS	55/107	1.975807e-79	5.729841e-78	1.267303e+02	2.296647e+04	H4C5;H2AZ2;H2BC12;H2BC6;H3C14;CBX5;H2BC3;H2BC5;H2BC4;H2BC11;H4C11;H3C6;H2AC6;H2BC8;H3C13;H3C3;H2BC15;H3C1;H2BC14;CHD4;H3-3B;H4C2;H3C2;H4C13;H2BC26;H2BC7;SETDB1;H2AC20;H4C16;H4C15;H4C6;H2AC18;H4C12;H4C14;H3C11;H2BC10;H3C7;H4C3;H2BC21;H3C15;H2AC19;H3C10;H2AX;H2AC4;H2BC9;H3C4;H3C12;H3C8;H4C1;H4C9;H4C4;H2BC17;H2AC7;H2BC13;H2AC8
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS_BY_PIWI_INTERACTING_RNAS_PIRNAS	56/97	6.002660e-85	2.901286e-83	1.648082e+02	3.196085e+04	H4C5;H2AZ2;H2BC12;H2BC6;H3C14;H2BC3;H2BC5;H2BC4;H2BC11;H4C11;H3C6;H2AC6;H2BC8;H3C13;H3C3;H2BC15;H3C1;SMARCA4;H2BC14;ACTB;H3-3B;CHD4;H3C2;H4C13;H4C2;DNMT3A;H2BC26;H2BC7;H2AC20;H4C16;H4C15;H4C6;H2AC18;H4C12;H4C14;H3C11;H2BC10;H3C7;H4C3;H2BC21;H3C15;H2AC19;H3C10;H2AX;H2AC4;H2BC9;H3C4;H3C12;H3C8;H4C1;H4C9;H4C4;H2BC17;H2AC7;H2BC13;H2AC8
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS_BY_THE_HUMAN_SILENCING_HUB_HUSH_COMPLEX	55/70	1.606722e-95	2.795696e-93	4.304254e+02	9.394954e+04	H4C5;H2AZ2;H2BC12;H2BC6;H3C14;H2BC3;H2BC5;H2BC4;H2BC11;H4C11;H3C6;H2AC6;H2BC8;H3C13;H3C3;H2BC15;H3C1;EHMT2;H2BC14;H3-3B;H4C2;H2BC26;H3C2;H4C13;H2BC7;SETDB1;H2AC20;H4C16;H4C15;H2AC18;H4C6;H4C12;H4C14;H3C11;H2BC10;MPHOSPH8;H3C7;H4C3;H2BC21;H3C15;H2AC19;H3C10;H2AX;H2AC4;H3C4;H2BC9;H3C12;H3C8;H4C1;H4C9;H4C4;H2BC17;H2AC7;H2BC13;H2AC8
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	33/172	1.605085e-30	1.424923e-29	2.392417e+01	1.641303e+03	RPS4Y1;RPL26;RPL7;RPS8;UBC;RPS23;RPS2;RPL32;RPS6;RPL21;RPL10L;RPS15;RPL24;RPS18;RPL31;RPL17;RPL34;RPS24;RPL36;RPS17;FAU;RPL15;RPL3L;RPL27;RPL35A;UBB;RPL36AL;RPL26L1;RPL8;RPL7A;RPL35;UBA52;RPL29
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_REGULATION_OF_FOXO_TRANSCRIPTIONAL_ACTIVITY_BY_ACETYLATION	3/10	2.002533e-04	1.062319e-03	3.838723e+01	3.269029e+02	CREBBP;KAT2B;EP300
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_REGULATION_OF_FZD_BY_UBIQUITINATION	3/21	2.011221e-03	7.542079e-03	1.554974e+01	9.654855e+01	UBB;UBA52;UBC
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_REGULATION_OF_GENE_EXPRESSION_BY_HYPOXIA_INDUCIBLE_FACTOR	2/11	7.552303e-03	2.219765e-02	2.151296e+01	1.051102e+02	CREBBP;EP300
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_LATE_STAGE_BRANCHING_MORPHOGENESIS_PANCREATIC_BUD_PRECURSOR_CELLS	3/16	8.855502e-04	3.758189e-03	2.131678e+01	1.498421e+02	CREBBP;KAT2B;EP300
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_REGULATION_OF_HSF1_MEDIATED_HEAT_SHOCK_RESPONSE	1/82	6.351745e-01	6.916168e-01	1.487592e+00	6.751517e-01	UBB
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_REGULATION_OF_INNATE_IMMUNE_RESPONSES_TO_CYTOSOLIC_DNA	3/15	7.259833e-04	3.239002e-03	2.302383e+01	1.664159e+02	UBB;UBA52;UBC
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA	2/118	4.227171e-01	5.172488e-01	1.740402e+00	1.498576e+00	CREBBP;EP300
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_REGULATION_OF_MITF_M_DEPENDENT_GENES_INVOLVED_IN_PIGMENTATION	2/42	9.263490e-02	1.704394e-01	5.034687e+00	1.197797e+01	ACTB;SMARCA4
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS	4/87	2.166750e-02	5.225421e-02	4.435148e+00	1.699523e+01	UBB;UBA52;UBC;TNPO1
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_REGULATION_OF_NFE2L2_GENE_EXPRESSION	2/8	3.938263e-03	1.307744e-02	3.144899e+01	1.741335e+02	CREBBP;EP300
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_REGULATION_OF_NF_KAPPA_B_SIGNALING	3/18	1.267482e-03	5.081610e-03	1.856349e+01	1.238319e+02	UBB;UBA52;UBC
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_REGULATION_OF_PLK1_ACTIVITY_AT_G2_M_TRANSITION	3/87	8.996955e-02	1.668945e-01	3.387763e+00	8.158695e+00	UBB;UBA52;UBC
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_REGULATION_OF_PTEN_GENE_TRANSCRIPTION	3/61	3.824076e-02	8.401378e-02	4.902891e+00	1.600232e+01	CHD4;CBX6;CBX2
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_REGULATION_OF_PTEN_LOCALIZATION	3/9	1.414429e-04	7.888159e-04	4.429624e+01	3.926248e+02	UBB;UBA52;UBC
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_REGULATION_OF_PTEN_STABILITY_AND_ACTIVITY	3/69	5.193190e-02	1.091322e-01	4.310510e+00	1.274972e+01	UBB;UBA52;UBC
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_REGULATION_OF_PYRUVATE_METABOLISM	3/33	7.415004e-03	2.201725e-02	9.423439e+00	4.621490e+01	UBB;UBA52;UBC
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_REGULATION_OF_RAS_BY_GAPS	3/68	5.010653e-02	1.063236e-01	4.376644e+00	1.310194e+01	UBB;UBA52;UBC
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_REGULATION_OF_RUNX2_EXPRESSION_AND_ACTIVITY	3/72	5.759826e-02	1.190416e-01	4.123527e+00	1.176963e+01	UBB;UBA52;UBC
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_REGULATION_OF_RUNX3_EXPRESSION_AND_ACTIVITY	4/55	4.474322e-03	1.474492e-02	7.208070e+00	3.899134e+01	UBB;EP300;UBC;UBA52
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_REGULATION_OF_SIGNALING_BY_CBL	3/22	2.308087e-03	8.401823e-03	1.475123e+01	8.955966e+01	UBB;UBA52;UBC
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_REGULATION_OF_TBK1_IKK_IKBKE_MEDIATED_ACTIVATION_OF_IRF3_IRF7	3/14	5.860152e-04	2.683333e-03	2.502775e+01	1.862607e+02	UBB;UBA52;UBC
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_REGULATION_OF_TBK1_IKK_MEDIATED_ACTIVATION_OF_IRF3_IRF7_UPON_TLR3_LIGATION	3/11	2.728861e-04	1.388368e-03	3.386859e+01	2.779411e+02	UBB;UBA52;UBC
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_REGULATION_OF_TP53_ACTIVITY	14/160	9.091204e-09	6.131277e-08	8.635424e+00	1.598931e+02	SUPT16H;EP300;BRPF1;KMT5A;BARD1;UBB;UBA52;UBC;SSRP1;EHMT2;DAXX;L3MBTL1;CHD4;PRMT5
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_ACETYLATION	3/30	5.666633e-03	1.773371e-02	1.045377e+01	5.407904e+01	BRPF1;CHD4;EP300
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_METHYLATION	8/19	2.770386e-11	1.959541e-10	6.268707e+01	1.523888e+03	KMT5A;EP300;UBB;UBC;UBA52;EHMT2;L3MBTL1;PRMT5
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_PHOSPHORYLATION	6/92	8.987640e-04	3.795751e-03	6.259328e+00	4.390600e+01	SUPT16H;BARD1;UBB;UBA52;UBC;SSRP1
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_REGULATION_OF_TP53_EXPRESSION_AND_DEGRADATION	4/37	1.026550e-03	4.273200e-03	1.109585e+01	7.635667e+01	UBB;DAXX;UBA52;UBC
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_REPLACEMENT_OF_PROTAMINES_BY_NUCLEOSOMES_IN_THE_MALE_PRONUCLEUS	31/42	9.343289e-52	1.161237e-50	2.714548e+02	3.189588e+04	H4C5;H2BC12;H2BC6;H2BC3;H2BC5;H2BC4;H2BC11;H4C11;H2BC8;H2BC15;H2BC14;H3-3B;H4C2;H2BC26;H4C13;H2BC7;H4C16;H4C15;H4C6;H4C12;H4C14;H2BC10;H4C3;H2BC21;H2AX;H4C1;H4C9;H4C4;H2BC17;H2BC13;H2BC9
