Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
c2.cp.v2024.1.Hs.symbols.gmt,WP_15Q11Q13_COPY_NUMBER_VARIATION,2/59,0.16157801349159076,0.2565198389373795,3.5417049783265466,6.455703656929022,CREBBP;KAT2B
c2.cp.v2024.1.Hs.symbols.gmt,WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME,2/23,0.03158104662184736,0.07211420094752546,9.497295018618702,32.81503597683512,CREBBP;KAT2B
c2.cp.v2024.1.Hs.symbols.gmt,WP_16P112_PROXIMAL_DELETION_SYNDROME,1/76,0.60715836641171,0.667797444725901,1.6065270568581826,0.8016017718109718,BPTF
c2.cp.v2024.1.Hs.symbols.gmt,WP_1P36_COPY_NUMBER_VARIATION_SYNDROME,1/112,0.7481108610459987,0.7889169080121441,1.084918999717206,0.31484794409377925,MCM2
c2.cp.v2024.1.Hs.symbols.gmt,WP_1Q211_COPY_NUMBER_VARIATION_SYNDROME,2/29,0.048340878560761795,0.10307981457809501,7.421862125789619,22.484366019714887,PYGO2;PYGO1
c2.cp.v2024.1.Hs.symbols.gmt,WP_22Q112_COPY_NUMBER_VARIATION_SYNDROME,4/130,0.07453347963569336,0.14441899172172212,2.9181926968125613,7.577107366170975,CBX5;H4C1;TNPO1;ASF1A
c2.cp.v2024.1.Hs.symbols.gmt,WP_2Q37_COPY_NUMBER_VARIATION_SYNDROME,2/145,0.5298737297197631,0.6041810548573969,1.4100971609629778,0.8955760392874926,RPS6;CENPA
c2.cp.v2024.1.Hs.symbols.gmt,WP_5Q35_COPY_NUMBER_VARIATION,2/111,0.39292675267004606,0.4918651436301296,1.8526259156561686,1.7305972712606954,H2AX;BARD1
c2.cp.v2024.1.Hs.symbols.gmt,WP_7Q1123_COPY_NUMBER_VARIATION_SYNDROME,2/106,0.37123407391947383,0.4714943712553901,1.941991066653175,1.9243626200608446,SMARCA5;H2AX
c2.cp.v2024.1.Hs.symbols.gmt,WP_ACUTE_VIRAL_MYOCARDITIS,1/85,0.64842853091026,0.7025315341119878,1.434458126765819,0.6214122640023241,ACTB
