,precision,recall,f1-score,support
0,0.8255751608500682,0.8846264330295355,0.8540813110620863,38293.0
1,0.8761979487754301,0.8137410540013013,0.843815358044015,38425.0
accuracy,0.8491227612815767,0.8491227612815767,0.8491227612815767,0.8491227612815767
macro avg,0.8508865548127491,0.8491837435154184,0.8489483345530506,76718.0
weighted avg,0.8509301052703089,0.8491227612815767,0.8489395028199608,76718.0
